blockGroup,marketCategory,sales20092010,salesPriceCoefficientVariance ,commercialResidentialLandRatio,unitsPerSquareMile,residentialPermits,vacantLots,vacantHouseNotices,foreclosureFilings,medianSalesPrice20092010,ownerOccupied
2002003,Distressed,19,0.97,11.1,6100,0,3,17,4,$14000.00,47.6
2709012,Middle Market Choice,19,0.45,22.35,6128.57,0,1,0,2,$118500.00,88.1
2001004,Distressed,19,0.76,0,7650,0,2,16,8,$15000.00,47.3
2603022,Middle Market,19,0.46,0,9875,0,0,0,4,$99750.00,76.5
2602012,Middle Market,19,0.63,15,2526.67,0,7,0,9,$75000.00,56.8
2716003,Middle Market Stressed,19,0.8,0,6625,0,13,3,6,$42000.00,52.6
2710024,Distressed,19,0.84,9.43,4033.33,0,17,11,8,$35000.00,53.3
2601011,Middle Market Choice,19,0.45,3.88,2253.33,0,4,1,5,$125000.00,71.3
1606003,Distressed,19,0.91,1.75,6175,1,1,18,4,$23103.00,57.8
1606004,Distressed,19,0.76,10.18,8575,0,10,21,4,$20000.00,23
1606006,Distressed,19,0.95,12.44,3975,0,4,18,4,$16034.00,55.1
2504013,Distressed,19,0.82,1.53,2600,0,12,3,5,$39900.00,41.3
2007011,Distressed,18,0.58,36.88,6700,0,14,5,5,$30000.00,64.2
905002,Middle Market Stressed,18,0.7,0.39,2537.5,1,10,3,7,$44750.00,56.9
2704014,Middle Market Choice,18,0.37,0,3466.67,0,3,0,5,$161950.00,84.5
1403002,Distressed,18,0.86,0,8400,3,22,30,8,$23333.00,29.9
2503021,Middle Market Stressed,18,0.55,1963.01,3620.69,1,14,16,3,$58800.00,41.8
2703012,Middle Market Choice,18,0.41,6.4,3237.5,0,2,0,3,$150500.00,63.8
1307002,Middle Market Choice,18,0.41,6.87,3314.29,0,0,1,2,$169000.00,62.7
2003003,Distressed,18,1.57,16.64,6350,0,7,28,8,$16000.00,26.6
2710023,Middle Market Stressed,18,0.54,8.36,4320,0,5,5,4,$56390.00,66.3
1506004,Distressed,18,0.84,156.48,4900,0,9,25,11,$28750.00,47.3
2502061,Middle Market Stressed,18,0.75,0.5,652,0,13,1,6,$62251.00,70.5
1506001,Distressed,18,1.08,1.32,4171.43,1,13,16,6,$23500.00,41.1
2801023,Middle Market Choice,18,0.57,4.77,2650,0,5,3,7,$116825.00,53.7
908006,Distressed,18,0.81,2.06,4250,1,6,24,4,$26000.00,46.3
1605005,Middle Market Stressed,18,0.56,721.82,5525,0,2,3,4,$47250.00,52.3
2501031,Middle Market Choice,18,0.31,0.44,2161.11,0,6,1,3,$114950.00,59.1
2804022,Middle Market,18,0.52,0,2712.5,0,1,1,3,$71000.00,81.6
2603021,Middle Market,18,0.49,0,3928.57,0,2,0,3,$67500.00,82.6
1513002,Distressed,18,0.96,92.7,5980,0,12,17,6,$23500.00,40.8
2710011,Middle Market Stressed,18,0.75,1.65,4057.14,1,10,4,5,$51450.00,65.4
